HHD,PID,Gender,Age,Income,Hhd_income,License,Status,Education,Hhd_size,Residence,WS,ID,Rela
188,283,1,29,9000,108000,1,2,7,1,238,Firms,140,1
189,284,1,29,9000,108000,1,2,7,1,1387,Firms,141,1
190,285,1,29,9000,108000,1,2,7,1,249,Firms,142,1
191,286,1,28,9000,108000,1,2,7,1,1269,Firms,143,1
192,287,1,30,9000,108000,1,2,7,1,37,Firms,144,1
193,288,1,29,0,160269,1,3,3,4,97,0,0,1
193,289,1,29,8106,160269,1,2,4,4,97,Schools,2001,0
193,290,1,38,5250,160269,0,2,6,4,97,Schools,2002,0
193,291,1,15,0,160269,0,1,5,4,97,Schools,2424,0
194,292,1,26,0,171000,1,3,3,4,171,0,0,0
194,293,1,31,5250,171000,1,2,4,4,171,Schools,2003,1
194,294,1,39,9000,171000,0,2,6,4,171,Firms,906,0
194,295,1,17,0,171000,0,1,5,4,171,Schools,2485,0
195,296,1,26,0,245981,1,3,3,4,171,0,0,0
195,297,1,31,7624,245981,1,2,4,4,171,Schools,2004,1
195,298,1,43,12874,245981,1,2,6,4,171,Schools,2005,0
195,299,1,15,0,245981,0,1,5,4,171,Schools,2424,0
196,300,1,34,0,171000,1,3,3,4,183,0,0,0
196,301,1,30,5250,171000,1,2,4,4,183,Firms,123,1
196,302,1,38,9000,171000,0,2,6,4,183,Firms,123,0
196,303,1,9,0,171000,0,1,2,4,183,Schools,2076,0
197,304,1,31,0,208324,1,3,3,4,183,0,0,0
197,305,1,27,9000,208324,1,2,4,4,183,Firms,474,1
197,306,1,37,8360,208324,0,2,6,4,183,Schools,2006,0
197,307,1,6,0,208324,0,1,2,4,183,Schools,2073,0
198,308,1,26,0,341184,1,3,3,4,1078,0,0,1
198,309,1,34,5250,341184,1,2,4,4,1078,Firms,403,0
198,310,1,42,23182,341184,0,2,6,4,1078,Schools,2007,0
198,311,1,19,0,341184,0,1,7,4,1078,Schools,2259,0
199,312,1,33,0,109631,1,3,3,4,1078,0,0,1
199,313,1,32,5250,109631,1,2,4,4,1078,Schools,2009,0
199,314,1,43,3886,109631,0,2,6,4,1078,Schools,2008,0
199,315,1,15,0,109631,0,1,5,4,1078,Schools,2485,0
200,316,1,29,0,305457,1,3,3,4,216,0,0,1
200,317,1,34,19373,305457,1,2,4,4,216,Schools,2011,0
200,318,1,35,6082,305457,0,2,6,4,216,Schools,2010,0
200,319,1,9,0,305457,0,1,2,4,216,Schools,1975,0
201,320,1,29,0,171000,1,3,3,4,216,0,0,0
201,321,1,33,5250,171000,1,2,4,4,216,Firms,193,0
201,322,1,39,9000,171000,0,2,6,4,216,Firms,865,1
201,323,1,7,0,171000,0,1,2,4,216,Schools,2111,0
202,324,1,28,0,171000,1,3,3,4,962,0,0,0
202,325,1,29,9000,171000,1,2,4,4,962,Shops,1470,0
202,326,1,43,5250,171000,0,2,6,4,962,Schools,2012,1
202,327,1,16,0,171000,0,1,5,4,962,Schools,2421,0
203,328,1,28,0,355743,1,3,3,4,962,0,0,1
203,329,1,32,20645,355743,1,2,4,4,962,Schools,2013,0
203,330,1,41,9000,355743,0,2,6,4,962,Firms,562,0
203,331,1,19,0,355743,0,1,7,4,962,Schools,2259,0
204,332,1,28,0,153034,1,3,3,4,292,0,0,1
204,333,1,30,5250,153034,1,2,4,4,292,Firms,18,0
204,334,1,42,7503,153034,1,2,6,4,292,Schools,2014,0
204,335,1,4,0,153034,0,1,1,4,292,Schools,2457,0
205,336,1,29,0,185575,1,3,3,4,292,0,0,1
205,337,1,34,5250,185575,1,2,4,4,292,Firms,648,0
205,338,1,42,10215,185575,0,2,6,4,292,Schools,2015,0
205,339,1,16,0,185575,0,1,5,4,292,Schools,2421,0
206,340,1,1,0,171000,0,1,0,4,499,0,0,0
206,341,1,25,0,171000,1,3,3,4,499,0,0,0
206,342,1,33,5250,171000,0,2,4,4,499,Firms,427,0
206,343,1,42,9000,171000,1,2,6,4,499,Firms,774,1
207,344,1,32,0,261252,1,3,3,4,499,0,0,0
207,345,1,34,12771,261252,1,2,4,4,499,Schools,2016,1
207,346,1,35,9000,261252,0,2,6,4,499,Firms,942,0
207,347,1,17,0,261252,0,1,5,4,499,Schools,2424,0
208,348,1,33,0,381394,1,3,3,4,383,0,0,0
208,349,1,34,22383,381394,1,2,4,4,383,Schools,2018,0
208,350,1,42,9400,381394,1,2,6,4,383,Schools,2017,1
208,351,1,16,0,381394,0,1,5,4,383,Schools,2439,0
209,352,1,33,0,194699,1,3,3,4,383,0,0,0
209,353,1,34,10975,194699,1,2,4,4,383,Schools,2019,0
209,354,1,41,5250,194699,0,2,6,4,383,Shops,1285,0
209,355,1,20,0,194699,0,1,7,4,383,Schools,2256,1
210,356,1,34,0,180354,1,3,3,4,400,0,0,0
210,357,1,25,5250,180354,1,2,4,4,400,Firms,634,1
210,358,1,43,9780,180354,0,2,6,4,400,Schools,2020,0
210,359,1,13,0,180354,0,1,3,4,400,Schools,2126,0
211,360,1,30,0,281982,1,3,3,4,400,0,0,0
211,361,1,32,7805,281982,1,2,4,4,400,Schools,2021,0
211,362,1,37,15694,281982,0,2,6,4,400,Schools,2022,1
211,363,1,13,0,281982,0,1,3,4,400,Schools,2225,0
212,364,1,29,0,201450,1,3,3,4,1387,0,0,0
212,365,1,31,9000,201450,1,2,4,4,1387,Shops,1120,0
212,366,1,44,7788,201450,0,2,6,4,1387,Schools,2023,1
212,367,1,7,0,201450,0,1,2,4,1387,Schools,2071,0
213,368,1,25,0,208728,1,3,3,4,499,0,0,0
213,369,1,29,9000,208728,1,2,4,4,499,Firms,955,1
213,370,1,36,8394,208728,0,2,6,4,499,Schools,2024,0
213,371,1,7,0,208728,0,1,2,4,499,Schools,2115,0
214,372,1,28,0,171000,1,3,3,4,10,0,0,0
214,373,1,32,5250,171000,1,2,4,4,10,Firms,383,1
214,374,1,39,9000,171000,0,2,6,4,10,Schools,2025,0
214,375,1,9,0,171000,0,1,2,4,10,Schools,2087,0
215,376,1,32,0,184659,1,3,3,4,10,0,0,1
215,377,1,26,5250,184659,1,2,4,4,10,Firms,882,0
215,378,1,36,10138,184659,0,2,6,4,10,Schools,2026,0
215,379,1,8,0,184659,0,1,2,4,10,Schools,2078,0
216,380,1,27,0,171000,1,3,3,4,526,0,0,0
216,381,1,34,5250,171000,1,2,4,4,526,Firms,663,0
216,382,1,35,9000,171000,0,2,6,4,526,Firms,396,1
216,383,1,22,0,171000,0,1,9,4,526,Schools,2372,0
217,384,1,34,0,171000,1,3,3,4,526,0,0,0
217,385,1,31,5250,171000,1,2,4,4,526,Schools,2027,0
217,386,1,42,9000,171000,1,2,6,4,526,Firms,526,1
217,387,1,19,0,171000,0,1,7,4,526,Schools,2324,0
218,388,1,29,0,171000,1,3,3,4,499,0,0,1
218,389,1,26,9000,171000,1,2,4,4,499,Firms,764,0
218,390,1,41,5250,171000,0,2,6,4,499,Firms,400,0
218,391,1,8,0,171000,0,1,2,4,499,Schools,2078,0
219,392,1,34,5250,63000,0,2,7,1,1269,Firms,145,1
220,393,1,27,5250,63000,0,2,7,1,835,Firms,146,1
221,394,1,31,5250,63000,0,2,7,1,94,Firms,147,1
222,395,1,32,5250,63000,0,2,7,1,895,Firms,148,1
223,396,1,28,5250,63000,0,2,7,1,705,Firms,149,1
224,397,1,28,5250,63000,0,2,7,1,1573,Firms,150,1
225,398,1,31,5250,63000,0,2,7,1,776,Firms,151,1
226,399,1,28,5250,63000,1,2,7,1,443,Firms,152,1
227,400,1,29,5250,63000,0,2,7,1,453,Firms,153,1
228,401,1,29,5250,63000,0,2,7,1,502,Firms,154,1
229,402,1,33,5250,63000,0,2,7,1,962,Firms,155,1
230,403,1,33,5250,63000,0,2,7,1,1577,Firms,156,1
231,404,1,28,5250,63000,0,2,7,1,746,Firms,157,1
232,405,1,32,5250,63000,0,2,7,1,1078,Firms,158,1
233,406,1,30,5250,63000,0,2,7,1,567,Firms,159,1
234,407,1,28,5250,63000,1,2,7,1,5,Firms,160,1
235,408,1,29,5250,63000,0,2,7,1,762,Firms,161,1
236,409,1,34,12500,150000,1,2,7,1,746,Firms,162,1
237,410,1,25,12500,150000,1,2,7,1,133,Firms,163,1
238,411,1,31,12500,150000,1,2,7,1,1387,Firms,164,1
239,412,1,34,12500,150000,1,2,7,1,772,Firms,165,1
240,413,1,30,12500,150000,1,2,7,1,735,Firms,166,1
241,414,1,29,12500,150000,1,2,7,1,411,Firms,167,1
242,415,1,29,12500,150000,1,2,7,1,196,Firms,168,1
243,416,1,33,12500,150000,1,2,7,1,124,Firms,169,1
244,417,1,31,12500,150000,1,2,7,1,31,Firms,170,1
245,418,1,34,12500,150000,1,2,7,1,55,Firms,171,1
246,419,1,27,12500,150000,1,2,7,1,1445,Firms,172,1
247,420,1,30,12500,150000,1,2,7,1,856,Firms,173,1
248,421,1,25,12500,150000,1,2,7,1,322,Firms,174,1
249,422,1,28,12500,150000,1,2,7,1,238,Firms,175,1
250,423,1,27,12500,150000,1,2,7,1,216,Firms,176,1
251,424,1,28,12500,150000,1,2,7,1,606,Firms,177,1
252,425,1,27,12500,150000,1,2,7,1,225,Firms,178,1
253,426,1,25,12500,150000,1,2,7,1,400,Firms,179,1
254,427,1,33,12500,150000,1,2,7,1,856,Firms,180,1
255,428,1,29,12500,150000,1,2,7,1,54,Firms,181,1
256,429,1,34,12500,150000,1,2,7,1,500,Firms,182,1
257,430,1,32,12500,150000,1,2,7,1,271,Firms,183,1
258,431,1,30,12500,150000,1,2,7,1,161,Firms,184,1
259,432,1,28,12500,150000,1,2,7,1,856,Firms,185,1
