HHD,PID,Gender,Age,Income,Hhd_income,License,Status,Education,Edu_year,Edu_durati,Hhd_size,WS,ID,Rela,Property,Residence,LiveLong,LiveLat,WELong,WELat,Max_Fri,Min_Fri
113,130,0,46,12500,360000,1,2,6,0,0,3,Firms,722,11,0,1684,116.5156743,40.14934794,116.9071666,40.40034399,40,20
113,131,0,43,17500,360000,1,2,6,0,0,3,Firms,930,1,1,1684,116.5156743,40.14934794,116.5678672,39.89813205,40,20
113,132,0,14,0,360000,0,1,3,3,3,3,Schools,2195,3,0,1684,116.5156743,40.14934794,116.6461635,39.78747148,19,8
114,133,0,48,12500,249184,1,2,6,0,0,3,Firms,704,11,0,1114,116.2026599,40.03885287,116.7244649,40.24976058,2,1
114,134,0,38,8265,249184,1,2,6,0,0,3,Schools,1973,1,1,1114,116.2026599,40.03885287,116.4373946,39.94840323,40,20
114,135,0,12,0,249184,0,1,3,1,3,3,Schools,2133,3,0,1114,116.2026599,40.03885287,116.3200042,40.08908436,40,20
115,136,0,49,12500,240040,1,2,6,0,0,3,Firms,800,1,1,1114,116.2026599,40.03885287,116.3982601,39.89813205,19,8
115,137,0,40,7503,240040,1,2,6,0,0,3,Schools,1974,11,0,1114,116.2026599,40.03885287,116.4243493,39.89813205,40,20
115,138,0,9,0,240040,0,1,2,4,6,3,Schools,1972,3,0,1114,116.2026599,40.03885287,116.4895796,40.06899316,8,2
116,139,0,41,12500,216388,1,2,6,0,0,3,Businessmen,1806,1,1,163,116.2808837,39.99865868,115.6040848,39.63640098,19,8
116,140,0,48,5532,216388,0,2,6,0,0,3,Schools,1975,11,0,163,116.2808837,39.99865868,116.4113045,39.91824252,2,1
116,141,0,22,0,216388,1,1,9,1,3,3,Schools,2359,11,0,163,116.2808837,39.99865868,116.3460874,39.8579026,19,8
117,142,0,47,12500,360000,1,2,6,0,0,3,Firms,69,11,0,1827,116.4113045,40.04890012,117.2724027,40.65133731,2,1
117,143,0,38,17500,360000,1,2,6,0,0,3,Firms,69,1,1,1827,116.4113045,40.04890012,117.2724027,40.65133731,40,20
117,144,0,6,0,360000,0,1,2,1,6,3,Schools,2091,3,0,1827,116.4113045,40.04890012,116.3200042,39.68678201,8,2
118,145,0,37,12500,360000,1,2,6,0,0,3,Firms,69,11,0,1827,116.4113045,40.04890012,117.2724027,40.65133731,8,2
118,146,0,51,17500,360000,1,2,6,0,0,3,Firms,170,1,1,1827,116.4113045,40.04890012,117.0767834,40.52080776,40,20
118,147,0,10,0,360000,0,1,2,5,6,3,Schools,2092,3,0,1827,116.4113045,40.04890012,116.1374932,40.29995806,19,8
119,148,0,52,17500,360000,1,2,6,0,0,3,Firms,168,1,1,77,116.3982601,39.99865868,116.0853743,40.47061306,2,1
119,149,0,36,12500,360000,1,2,6,0,0,3,Firms,379,11,0,77,116.3982601,39.99865868,115.9291064,40.38026729,2,1
119,150,0,15,0,360000,0,1,5,1,3,3,Schools,2427,3,0,77,116.3982601,39.99865868,116.4895796,39.88807577,8,2
120,151,0,44,17500,360000,1,2,6,0,0,3,Firms,88,11,0,77,116.3982601,39.99865868,115.9942008,40.56096636,19,8
120,152,0,52,12500,360000,1,2,6,0,0,3,Firms,489,1,1,77,116.3982601,39.99865868,115.9942008,40.56096636,2,1
120,153,0,12,0,360000,0,1,3,1,3,3,Schools,2133,3,0,77,116.3982601,39.99865868,116.3200042,40.08908436,40,20
121,154,0,46,12500,360000,1,2,6,0,0,3,Firms,379,1,1,77,116.3982601,39.99865868,115.9291064,40.38026729,40,20
121,155,0,35,17500,360000,1,2,6,0,0,3,Firms,867,11,0,77,116.3982601,39.99865868,116.4373946,39.97855828,19,8
121,156,0,14,0,360000,0,1,3,3,3,3,Schools,2195,3,0,77,116.3982601,39.99865868,116.6461635,39.78747148,19,8
122,157,0,40,17500,360000,1,2,6,0,0,3,Firms,440,11,0,1156,116.4373946,40.16943283,116.5678672,39.89813205,19,8
122,158,0,49,12500,360000,0,2,6,0,0,3,Firms,505,4,0,1156,116.4373946,40.16943283,116.5417702,39.81766108,40,20
122,159,0,22,0,360000,1,1,9,1,3,3,Schools,2371,1,1,1156,116.4373946,40.16943283,116.7505658,39.67670784,19,8
123,160,0,41,17500,291766,1,2,6,0,0,3,Firms,899,1,1,1156,116.4373946,40.16943283,116.2548064,39.73713826,2,1
123,161,0,47,6814,291766,1,2,6,0,0,3,Schools,1976,11,0,1156,116.4373946,40.16943283,116.3069634,39.62632165,40,20
123,162,0,15,0,291766,0,1,5,1,3,3,Schools,2431,3,0,1156,116.4373946,40.16943283,116.2156955,39.97855828,8,2
124,163,0,50,12500,242244,1,2,6,0,0,3,Firms,503,1,1,201,116.2808837,39.94840323,115.8770504,39.88807577,2,1
124,164,0,42,7687,242244,1,2,6,0,0,3,Schools,1977,11,0,201,116.2808837,39.94840323,116.3982601,40.11921792,40,20
124,165,0,16,0,242244,0,1,5,2,3,3,Schools,2431,3,0,201,116.2808837,39.94840323,116.2156955,39.97855828,19,8
125,166,0,35,12500,360000,1,2,6,0,0,3,Firms,142,1,1,201,116.2808837,39.94840323,116.150525,40.39030565,19,8
125,167,0,52,17500,360000,1,2,6,0,0,3,Firms,333,11,0,201,116.2808837,39.94840323,115.955141,39.90818763,19,8
125,168,0,9,0,360000,0,1,2,4,6,3,Schools,2115,3,0,201,116.2808837,39.94840323,116.2678448,39.94840323,19,8
126,169,0,45,12500,226677,1,2,6,0,0,3,Firms,819,1,1,359,116.2548064,40.29995806,116.1244622,39.74720669,2,1
126,170,0,42,6390,226677,1,2,6,0,0,3,Schools,1978,11,0,359,116.2548064,40.29995806,116.5026268,39.63640098,2,1
126,171,0,17,0,226677,0,1,5,3,3,3,Schools,2432,3,0,359,116.2548064,40.29995806,116.1374932,39.98860877,2,1
127,172,0,36,17500,360000,1,2,6,0,0,3,Firms,144,1,1,359,116.2548064,40.29995806,116.2287318,39.90818763,19,8
127,173,0,48,12500,360000,1,2,6,0,0,3,Firms,979,11,0,359,116.2548064,40.29995806,116.4113045,39.73713826,40,20
127,174,0,16,0,360000,0,1,5,2,3,3,Schools,2430,11,0,359,116.2548064,40.29995806,116.6461635,40.14934794,19,8
128,175,0,36,12500,246232,1,2,6,0,0,3,Businessmen,1719,1,1,359,116.2548064,40.29995806,116.2808837,39.89813205,2,1
128,176,0,53,8019,246232,1,2,6,0,0,3,Schools,1979,11,0,359,116.2548064,40.29995806,116.1244622,39.71699862,2,1
128,177,0,15,0,246232,0,1,5,1,3,3,Schools,2433,3,0,359,116.2548064,40.29995806,116.2678448,39.91824252,2,1
129,178,0,43,12500,210170,1,2,6,0,0,3,Businessmen,1512,1,1,675,116.7897171,39.65655647,116.3069634,39.78747148,40,20
129,179,0,54,5014,210170,1,2,6,0,0,3,Schools,1980,11,0,675,116.7897171,39.65655647,116.3982601,39.92829675,2,1
129,180,0,8,0,210170,0,1,2,3,6,3,Schools,1973,3,0,675,116.7897171,39.65655647,116.4373946,39.94840323,40,20
130,181,0,43,17500,277039,1,2,6,0,0,3,Firms,194,1,1,629,116.5156743,40.12926163,116.2939233,39.97855828,2,1
130,182,0,52,5587,277039,1,2,6,0,0,3,Schools,1981,11,0,629,116.5156743,40.12926163,116.3330455,40.03885287,19,8
130,183,0,11,0,277039,0,1,2,6,6,3,Schools,1973,3,0,629,116.5156743,40.12926163,116.4373946,39.94840323,40,20
131,184,0,40,17500,301326,1,2,6,0,0,3,Firms,91,1,1,1134,116.4634864,40.00870803,116.7636163,40.40034399,19,8
131,185,0,46,7611,301326,1,2,6,0,0,3,Schools,1982,11,0,1134,116.4634864,40.00870803,116.2678448,40.01875684,2,1
131,186,0,17,0,301326,0,1,5,3,3,3,Schools,2434,3,0,1134,116.4634864,40.00870803,116.3069634,39.71699862,2,1
132,187,0,39,17500,360000,1,2,6,0,0,3,Firms,243,1,1,1810,116.3591298,39.57590861,117.1289603,40.07903898,2,1
132,188,0,50,12500,360000,1,2,6,0,0,3,Firms,609,11,0,1810,116.3591298,39.57590861,116.5026268,39.97855828,8,2
132,189,0,6,0,360000,0,1,2,1,6,3,Schools,2010,3,0,1810,116.3591298,39.57590861,116.3330455,39.89813205,19,8
133,190,0,50,17500,273804,1,2,6,0,0,3,Firms,84,1,1,1794,116.0984028,39.94840323,116.3982601,40.01875684,40,20
133,191,0,38,5317,273804,1,2,6,0,0,3,Schools,1983,11,0,1794,116.0984028,39.94840323,116.6070145,39.84784339,40,20
133,192,0,17,0,273804,0,1,5,3,3,3,Schools,2434,3,0,1794,116.0984028,39.94840323,116.3069634,39.71699862,2,1
134,193,0,51,12500,236779,1,2,6,0,0,3,Firms,777,11,0,1222,116.5287221,39.7774066,116.5156743,40.03885287,2,1
134,194,0,39,7232,236779,0,2,6,0,0,3,Schools,1984,1,1,1222,116.5287221,39.7774066,116.3330455,40.14934794,19,8
134,195,0,23,0,236779,1,1,9,2,3,3,Schools,2360,11,0,1222,116.5287221,39.7774066,116.2156955,40.07903898,2,1
135,196,0,43,17500,318993,1,2,6,0,0,3,Firms,563,11,0,1222,116.5287221,39.7774066,116.6070145,39.92829675,19,8
135,197,0,50,9083,318993,0,2,6,0,0,3,Schools,1985,1,1,1222,116.5287221,39.7774066,116.3721728,39.97855828,40,20
135,198,0,20,0,318993,1,1,7,3,4,3,Schools,2271,3,0,1222,116.5287221,39.7774066,116.5548186,39.94840323,40,20
136,199,0,48,17500,317905,1,2,6,0,0,3,Firms,229,1,1,924,116.4113045,39.83778341,115.9681599,39.69685518,2,1
136,200,0,43,8992,317905,0,2,6,0,0,3,Schools,1986,11,0,924,116.4113045,39.83778341,116.3852162,39.89813205,40,20
136,201,0,18,0,317905,1,1,7,1,4,3,Schools,2272,3,0,924,116.4113045,39.83778341,116.4634864,39.72706891,40,20
137,202,0,43,12500,230017,1,2,6,0,0,3,Firms,180,1,1,924,116.4113045,39.83778341,116.7766667,39.79753552,19,8
137,203,0,50,6668,230017,1,2,6,0,0,3,Schools,1987,11,0,924,116.4113045,39.83778341,116.1374932,39.84784339,2,1
137,204,0,15,0,230017,0,1,5,1,3,3,Schools,2436,3,0,924,116.4113045,39.83778341,116.3200042,39.94840323,40,20
138,205,0,45,17500,256452,1,2,6,0,0,3,Businessmen,1937,1,1,924,116.4113045,39.83778341,116.4634864,39.65655647,2,1
138,206,0,36,3871,256452,1,2,6,0,0,3,Schools,1988,11,0,924,116.4113045,39.83778341,116.1896251,39.73713826,2,1
138,207,0,17,0,256452,0,1,5,3,3,3,Schools,2437,3,0,924,116.4113045,39.83778341,116.5809161,39.90818763,40,20
139,208,0,53,17500,282570,1,2,6,0,0,3,Firms,16,1,1,310,116.5417702,40.08908436,116.5026268,39.89813205,2,1
