HHD,Hhd_income,Hhd_size,Residence,Property
514,171000,3,778,1
515,379820,3,1242,1
516,277503,3,1064,1
517,171000,3,1064,1
518,171000,3,791,0
519,171000,3,791,0
520,171000,3,791,0
521,171000,3,186,1
522,171000,3,186,1
523,171000,3,147,1
524,171000,3,187,1
525,171000,3,187,1
526,171000,3,4,1
527,259701,3,4,1
528,171000,3,417,1
529,301101,3,417,1
530,229816,3,417,1
531,171000,3,417,1
532,326470,3,164,1
533,301915,3,1370,1
534,317245,3,1692,1
535,287443,3,1121,1
536,171000,3,1121,1
537,171000,3,1091,1
538,329036,3,1373,1
539,171000,3,683,0
540,258972,3,683,0
541,171000,3,683,0
542,283185,3,1460,1
543,295949,3,231,1
544,171000,3,231,1
545,357831,3,425,1
546,171000,3,425,1
547,399464,3,1011,1
548,340839,3,1011,1
549,297519,3,1011,1
550,171000,3,35,1
551,223889,3,35,1
552,376938,3,1131,1
553,0,1,1826,0
554,0,1,551,0
555,0,1,1422,0
556,0,1,1361,0
557,0,1,1700,0
558,0,1,809,0
559,0,1,186,0
560,0,1,1794,0
561,0,1,997,0
562,0,1,1442,0
563,0,1,1445,0
564,0,1,563,0
565,360000,2,1460,1
566,360000,2,1460,1
567,360000,2,1110,1
568,360000,2,1110,1
569,360000,2,1110,1
570,360000,2,832,1
571,360000,2,832,1
572,360000,2,1460,1
573,360000,2,1827,1
574,360000,2,1827,1
575,360000,2,1827,1
576,360000,2,1156,1
577,360000,2,1156,1
578,360000,2,1156,1
579,360000,2,163,1
580,360000,2,163,1
581,360000,2,163,1
582,360000,2,1697,1
583,360000,2,1697,1
584,360000,2,1697,1
585,360000,2,1697,1
586,360000,2,676,1
587,360000,2,676,1
588,360000,2,676,1
589,360000,2,190,1
590,360000,2,133,1
591,360000,2,133,1
592,360000,2,1080,1
593,360000,2,1080,1
594,360000,2,1080,1
595,360000,2,1080,1
596,360000,2,1080,1
597,360000,2,1222,1
598,360000,2,1222,1
599,360000,2,1222,1
600,360000,2,473,1
601,360000,2,473,1
602,360000,2,64,1
603,360000,2,64,1
604,360000,2,1091,1
605,360000,2,712,1
606,360000,2,107,1
607,360000,2,107,1
608,360000,2,1460,1
609,360000,2,1460,1
610,360000,2,1067,1
611,360000,2,935,0
612,360000,2,935,0
613,360000,2,935,0
614,360000,2,1699,1
615,360000,2,1699,1
616,360000,2,863,1
617,360000,2,863,1
618,360000,2,434,1
619,360000,2,434,1
620,360000,2,434,1
621,360000,2,434,1
622,360000,2,248,1
623,360000,2,248,1
624,360000,2,248,1
625,360000,2,248,1
626,360000,2,1398,1
627,360000,2,1398,1
628,360000,2,1398,1
629,360000,2,791,1
630,360000,2,838,1
631,360000,2,838,1
632,360000,2,838,1
633,360000,2,838,1
634,360000,2,1312,1
635,360000,2,1312,1
636,360000,2,1312,1
637,360000,2,1312,1
638,360000,2,1312,1
639,360000,2,1312,1
640,360000,2,1460,1
641,360000,2,1460,1
642,360000,2,976,1
643,360000,2,976,1
644,360000,2,976,1
645,360000,2,1334,1
646,360000,2,1334,1
647,360000,2,878,1
648,360000,2,878,1
649,360000,2,878,1
650,360000,2,0,1
651,360000,2,398,1
652,360000,2,398,1
653,360000,2,398,1
654,360000,2,927,1
655,360000,2,927,1
656,360000,2,927,1
657,360000,2,1770,1
658,360000,2,1770,1
659,360000,2,1770,1
660,360000,2,980,1
661,360000,2,980,1
662,360000,2,980,1
663,360000,2,34,1
664,360000,2,34,1
665,360000,2,34,1
666,360000,2,1796,1
667,360000,2,1796,1
668,360000,2,1796,1
669,360000,2,838,1
670,360000,2,838,1
671,360000,2,838,1
672,360000,2,838,1
673,84000,1,65,1
674,84000,1,493,0
675,84000,1,906,0
676,84000,1,147,0
677,84000,1,1287,0
678,84000,1,858,0
679,84000,1,906,0
680,84000,1,943,0
681,84000,1,253,0
682,84000,1,1064,0
683,84000,1,1784,1
684,84000,1,8,0
685,84000,1,943,0
686,84000,1,4,1
687,84000,1,808,0
688,84000,1,31,1
689,84000,1,1067,0
690,84000,1,1802,1
691,84000,1,1697,1
692,84000,1,226,1
693,84000,1,1445,0
694,84000,1,1796,1
695,84000,1,1424,0
696,84000,1,1064,0
697,269975,5,1080,1
698,193524,5,1080,1
699,279854,5,517,1
700,270000,5,1267,1
701,270000,5,146,1
702,253014,5,676,1
703,265499,5,466,1
704,294624,5,838,1
705,270000,5,838,1
706,270000,5,906,1
707,311674,5,906,1
708,248690,5,1718,1
709,350343,5,1031,1
710,257509,5,1031,1
711,270000,5,15,1
712,296135,5,760,0
713,251742,5,258,1
714,210000,3,1267,1
715,210000,3,1267,1
716,210000,3,777,1
717,71857,3,777,1
718,43959,3,60,1
719,210000,3,60,1
720,210000,3,60,1
721,60955,3,1029,0
722,233698,3,997,1
723,0,1,458,0
724,0,1,1698,0
725,0,1,1794,0
726,0,1,619,0
727,0,1,1698,0
728,0,1,1064,0
729,0,1,163,0
730,0,1,878,0
731,0,1,8,0
732,0,1,1698,0
733,0,1,814,0
734,0,1,974,0
735,0,1,845,0
736,0,1,317,0
737,0,1,8,0
738,0,1,660,0
739,0,1,1698,0
740,0,1,973,0
741,0,1,238,0
742,0,1,507,0
743,0,1,396,0
744,0,1,220,0
745,0,1,58,0
746,0,1,1692,0
747,0,1,222,0
748,0,1,1802,0
749,0,1,490,0
750,0,1,179,0
751,0,1,1176,0
752,0,1,77,0
753,0,1,818,0
754,0,1,1692,0
755,0,1,1254,0
756,0,1,791,0
757,0,1,859,0
758,0,1,1029,0
759,0,1,1029,0
760,0,1,976,0
761,0,1,1302,0
762,0,1,146,0
763,0,1,1306,0
764,0,1,906,0
765,0,1,335,0
766,0,1,256,0
767,0,1,1826,0
768,0,1,1199,0
769,0,1,1031,0
770,0,1,1031,0
771,0,1,1713,0
772,0,1,791,0
773,0,1,1031,0
774,0,1,295,0
775,0,1,72,0
776,0,1,607,0
777,0,1,1031,0
778,0,1,8,0
779,0,1,955,0
780,0,1,372,0
781,0,1,320,0
782,0,1,620,0
783,0,1,8,0
784,0,1,216,0
785,0,1,97,0
786,0,1,425,0
787,0,1,859,0
788,0,1,1074,0
789,0,1,22,0
790,0,1,1080,0
791,0,1,1712,0
792,0,1,1010,0
793,0,1,719,0
794,0,1,997,0
795,0,1,997,0
796,0,1,859,0
797,0,1,886,0
798,0,1,245,0
799,0,1,1607,0
800,0,1,1797,0
801,0,1,39,0
802,0,1,8,0
803,0,1,964,0
804,0,1,1080,0
805,0,1,395,0
806,0,1,964,0
807,0,1,163,0
808,0,1,585,0
809,0,1,926,0
810,0,1,479,0
811,0,1,943,0
812,0,1,1073,0
813,0,1,1607,0
814,0,1,791,0
815,0,1,1442,0
816,0,1,1815,0
817,0,1,573,0
818,0,1,1459,0
819,0,1,52,0
820,0,1,409,0
821,0,1,1115,0
822,0,1,112,0
823,0,1,791,0
824,0,1,829,0
825,0,1,1030,0
826,0,1,886,0
827,0,1,216,0
828,0,1,906,0
829,0,1,859,0
830,0,1,65,0
831,0,1,1030,0
832,0,1,1031,0
833,0,1,891,0
834,0,1,894,0
835,0,1,648,0
836,0,1,1156,0
837,0,1,955,0
838,0,1,1063,0
839,0,1,1796,0
840,0,1,891,0
841,0,1,1031,0
842,0,1,1031,0
843,0,1,275,0
844,0,1,629,0
845,0,1,517,0
846,0,1,599,0
847,0,1,955,0
848,0,1,1010,0
849,0,1,188,0
850,0,1,620,0
851,0,1,891,0
852,0,1,609,0
853,0,1,648,0
854,0,1,1718,0
855,0,1,417,0
856,0,1,8,0
857,0,1,971,0
858,0,1,60,0
859,0,1,1030,0
860,0,1,170,0
861,0,1,966,0
862,0,1,8,0
863,0,1,1725,0
864,0,1,1804,0
865,0,1,294,0
866,0,1,639,0
867,0,1,891,0
868,0,1,1134,0
869,0,1,660,0
870,0,1,1818,0
871,0,1,186,0
872,0,1,190,0
873,0,1,527,0
874,0,1,1031,0
875,0,1,47,0
876,84000,1,1807,1
877,84000,1,1807,1
878,84000,1,781,1
879,84000,1,928,0
880,84000,1,1804,1
881,84000,1,295,0
882,84000,1,454,0
883,84000,1,1030,0
884,84000,1,248,1
885,84000,1,72,1
886,84000,1,1736,1
887,84000,1,1156,0
888,84000,1,1699,1
889,150000,2,838,1
890,113861,2,699,1
891,216000,3,282,1
892,216000,3,891,1
893,216000,3,891,1
894,160860,3,891,0
895,205473,3,891,1
896,216000,3,1712,1
897,220650,3,1725,1
898,216000,3,1725,1
899,414000,3,224,1
900,414000,3,891,1
901,414000,3,891,1
902,414000,3,1748,1
903,84000,1,1725,1
904,84000,1,1725,1
905,84000,1,891,0
906,84000,1,434,1
907,84000,1,635,0
908,84000,1,245,1
909,84000,1,1725,1
910,84000,1,39,1
911,84000,1,385,0
912,84000,1,1748,1
913,108000,2,906,0
914,108000,2,811,0
915,108000,2,811,0
916,108000,2,811,0
917,108000,2,847,0
918,378000,3,679,1
919,378000,3,679,1
920,378000,3,679,1
921,378000,3,719,1
922,378000,3,719,1
923,378000,3,719,1
924,378000,3,719,1
925,378000,3,1199,1
926,378000,3,1199,1
927,378000,3,1199,1
928,378000,3,1804,1
929,378000,3,336,1
930,378000,3,766,1
931,378000,3,507,1
932,378000,3,507,1
933,378000,3,507,1
934,378000,3,1700,1
935,378000,3,1700,1
936,378000,3,47,1
937,378000,3,8,1
938,378000,3,8,1
939,378000,3,318,1
940,378000,3,490,1
941,378000,3,490,1
942,378000,3,490,1
943,378000,3,49,1
944,378000,3,49,1
945,378000,3,1287,1
946,378000,3,1287,1
947,378000,3,1287,1
948,378000,3,404,1
949,378000,3,442,1
950,378000,3,442,1
951,378000,3,442,1
952,378000,3,350,1
953,378000,3,487,1
954,378000,3,1713,1
955,378000,3,1735,1
956,378000,3,1735,1
957,378000,3,46,1
958,378000,3,1807,1
959,378000,3,1807,1
960,378000,3,111,1
961,378000,3,111,1
962,378000,3,1030,1
963,378000,3,1030,1
964,378000,3,1010,1
965,378000,3,1010,1
966,378000,3,1010,1
967,378000,3,388,1
968,378000,3,891,1
969,378000,3,891,1
970,378000,3,891,1
971,378000,3,299,1
972,378000,3,232,1
973,378000,3,891,1
974,378000,3,891,1
975,378000,3,891,1
976,378000,3,892,1
977,378000,3,394,1
978,378000,3,394,1
979,378000,3,26,1
980,378000,3,26,1
981,378000,3,1128,1
982,378000,3,1128,1
983,378000,3,374,1
984,378000,3,374,1
985,378000,3,728,1
986,378000,3,728,1
987,378000,3,728,1
988,378000,3,1759,1
989,378000,3,719,1
990,378000,3,719,1
991,378000,3,1031,1
992,378000,3,371,1
993,378000,3,1807,1
994,378000,3,1807,1
995,378000,3,870,1
996,378000,3,870,1
997,378000,3,1607,1
998,378000,3,1748,1
999,378000,3,1748,1
1000,378000,3,892,1
1001,378000,3,892,1
1002,378000,3,551,1
1003,378000,3,1142,1
1004,378000,3,293,1
1005,378000,3,222,1
1006,378000,3,220,1
1007,378000,3,789,1
1008,378000,3,789,1
1009,378000,3,789,1
1010,378000,3,324,1
1011,378000,3,1807,1
1012,378000,3,1807,1
1013,378000,3,931,0
1014,378000,3,931,0
1015,378000,3,43,1
1016,378000,3,43,1
1017,378000,3,465,1
1018,378000,3,465,1
1019,378000,3,1804,1
1020,378000,3,1804,1
1021,378000,3,892,1
1022,378000,3,892,1
1023,378000,3,1146,1
1024,378000,3,1146,1
1025,378000,3,1146,1
1026,378000,3,309,1
1027,378000,3,500,1
1028,378000,3,500,1
1029,378000,3,500,1
1030,378000,3,620,0
1031,378000,3,620,0
1032,378000,3,620,0
1033,378000,3,620,0
1034,378000,3,1802,1
1035,378000,3,1802,1
1036,378000,3,1802,1
1037,378000,3,511,1
1038,378000,3,511,1
1039,378000,3,8,1
1040,378000,3,966,1
1041,378000,3,966,1
1042,378000,3,731,1
1043,378000,3,731,1
1044,378000,3,731,1
1045,378000,3,423,1
1046,378000,3,423,1
1047,378000,3,1030,1
1048,378000,3,1030,1
1049,378000,3,529,1
1050,378000,3,529,1
1051,378000,3,683,1
1052,378000,3,127,1
1053,378000,3,127,1
1054,378000,3,1125,1
1055,378000,3,1125,1
1056,378000,3,1002,1
1057,378000,3,1002,1
1058,378000,3,1002,1
1059,378000,3,619,1
1060,378000,3,619,1
1061,378000,3,619,1
1062,378000,3,619,1
1063,378000,3,621,1
1064,378000,3,609,1
1065,378000,3,609,1
1066,378000,3,609,1
1067,378000,3,729,1
1068,378000,3,729,1
1069,378000,3,913,1
1070,378000,3,913,1
1071,378000,3,639,1
1072,378000,3,639,1
1073,378000,3,639,1
1074,378000,3,683,1
1075,378000,3,1748,1
1076,378000,3,1442,1
1077,378000,3,1442,1
1078,378000,3,8,1
1079,378000,3,8,1
1080,378000,3,8,1
1081,378000,3,1030,1
1082,378000,3,1030,1
1083,378000,3,1714,1
1084,378000,3,1714,1
1085,378000,3,1714,1
1086,378000,3,1736,1
1087,84000,1,146,1
1088,84000,1,516,0
1089,84000,1,1156,0
1090,84000,1,1030,0
1091,84000,1,847,0
1092,84000,1,65,1
1093,84000,1,34,1
1094,84000,1,891,0
1095,84000,1,1714,1
1096,210000,2,1031,0
1097,139189,2,1031,0
1098,168565,2,1031,0
1099,215148,2,1031,0
1100,210000,2,1031,0
1101,210000,2,694,1
1102,210000,2,694,1
1103,210000,2,694,1
1104,121893,2,694,1
1105,210000,2,253,1
1106,210000,2,797,1
1107,246210,2,797,1
1108,210000,2,797,1
1109,203617,2,797,1
1110,210000,2,8,0
1111,206218,2,8,0
1112,146207,2,8,0
1113,210000,2,1030,0
1114,220471,2,1030,0
1115,210000,2,1030,0
1116,120409,2,1035,0
1117,210000,2,1035,0
1118,210000,2,1035,0
1119,210000,2,1030,0
1120,210000,2,1030,0
1121,280808,2,1803,1
1122,153153,2,1030,0
1123,246659,2,1030,0
1124,251172,2,1030,0
1125,210000,2,986,1
1126,164340,2,986,1
1127,210000,2,1030,0
1128,210000,2,1030,0
1129,155285,2,1030,0
1130,210000,2,1030,0
1131,179971,2,1030,0
1132,125362,2,482,0
1133,166159,2,482,0
1134,210000,2,482,0
1135,157428,2,362,1
1136,210000,2,362,1
1137,210000,2,362,1
1138,210000,2,573,0
1139,168000,2,573,0
1140,168000,2,573,0
1141,168000,2,1031,0
1142,168000,2,1031,0
1143,168000,2,1031,0
1144,168000,2,343,1
1145,168000,2,343,1
1146,168000,2,846,0
1147,168000,2,846,0
1148,168000,2,846,0
1149,168000,2,955,1
1150,168000,2,955,1
1151,168000,2,955,1
1152,168000,2,955,1
1153,168000,2,955,1
1154,168000,2,198,1
1155,168000,2,1736,1
1156,168000,2,91,1
1157,168000,2,91,1
1158,168000,2,91,1
1159,168000,2,91,1
1160,168000,2,385,1
1161,168000,2,385,1
1162,168000,2,385,1
1163,168000,2,385,1
1164,168000,2,385,1
1165,168000,2,508,0
1166,168000,2,508,0
1167,168000,2,508,0
1168,168000,2,508,0
1169,168000,2,1807,1
1170,168000,2,120,1
1171,168000,2,120,1
1172,168000,2,1784,1
1173,168000,2,67,1
1174,168000,2,1401,1
1175,168000,2,1401,1
1176,168000,2,1241,1
1177,168000,2,1241,1
1178,168000,2,1748,1
1179,168000,2,1040,0
1180,168000,2,1040,0
1181,168000,2,1040,0
1182,168000,2,1030,0
1183,168000,2,1030,0
1184,168000,2,1030,0
1185,168000,2,781,1
1186,168000,2,781,1
1187,168000,2,781,1
1188,168000,2,781,1
1189,168000,2,781,1
1190,168000,2,781,1
1191,168000,2,781,1
1192,168000,2,1737,1
1193,168000,2,1737,1
1194,168000,2,1737,1
1195,168000,2,1737,1
1196,99000,2,1737,1
1197,99000,2,1748,1
1198,99000,2,220,1
1199,99000,2,220,1
1200,99000,2,220,1
1201,99000,2,220,1
1202,99000,2,288,0
1203,99000,2,288,0
1204,99000,2,550,1
1205,99000,2,550,1
1206,99000,2,550,1
1207,99000,2,1077,0
1208,234000,3,1726,1
1209,234000,3,772,1
1210,234000,3,1130,1
1211,234000,3,1698,1
1212,150000,1,1066,1
1213,150000,1,1725,1
1214,150000,1,1812,1
1215,150000,1,1713,1
1216,150000,1,580,0
1217,150000,1,257,1
1218,150000,1,1444,1
1219,341951,3,1035,1
1220,259437,3,172,1
1221,391126,3,762,1
1222,211640,3,762,0
1223,186000,3,29,1
1224,225305,3,468,1
