hhd,pid,age_group,gender,age,income,hhd_income,education_level,status,number,license,cv,bev,phev,buybev,buyphev,buycv,fri,adv,nei,old-pid,OLD-hid,Number1,Long,Lat,S11,S11L,S12,S12L,S13,S13L,S21,S21L,S22,S22L,S23,S23L,L11,L11L,L12,L12L,L13,L13L,L21,L21L,L22,L22L,L23,L23L
10,30,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,114.0018929,22.53809848,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,3,3,0,0,0,0,0,0
11,31,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,114.0609475,22.56083134,4,1,5,1,4,2,2,1,1,3,0,0,5,3,2,1,2,1,0,0,0,0,0,0
11,32,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,114.0531883,22.56284048,0,0,0,0,0,0,2,3,2,3,1,3,4,1,3,1,3,2,2,2,2,3,1,2
11,33,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,114.0476635,22.57049274,4,2,1,2,2,2,0,0,0,0,0,0,5,3,2,3,4,2,1,2,0,0,0,0
12,34,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,114.0571629,22.61951878,1,2,1,3,2,2,0,0,0,0,0,0,4,2,1,1,0,0,0,0,0,0,0,0
12,35,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,114.1020086,22.55168613,1,2,1,1,5,3,1,3,0,0,0,0,2,2,4,1,5,1,1,2,1,2,0,0
12,36,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,114.0888063,22.55399438,2,2,1,3,2,2,2,3,0,0,0,0,3,2,4,3,4,3,1,3,1,2,1,2
13,37,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,114.1180468,22.54206211,5,1,4,3,2,1,2,3,2,1,0,0,2,2,0,0,0,0,1,2,0,0,0,0
13,38,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,114.1157602,22.56400417,1,2,4,1,1,2,0,0,0,0,0,0,4,1,1,1,1,3,2,3,1,3,2,3
13,39,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,114.1222791,22.57617283,3,2,2,3,3,2,2,3,1,3,0,0,1,2,0,0,4,3,2,3,1,3,0,0
14,40,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,114.0894393,22.56290656,0,0,0,0,0,0,1,1,1,3,2,3,2,3,5,2,4,2,0,0,0,0,0,0
14,41,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,114.1401384,22.61120062,3,2,5,3,5,2,0,0,0,0,0,0,5,3,5,2,4,2,2,2,2,3,0,0
14,42,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,114.1197687,22.62633015,0,0,0,0,0,0,2,2,2,3,0,0,3,3,4,3,5,3,1,2,0,0,0,0
15,43,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,114.126973,22.69419729,1,2,2,3,1,3,0,0,0,0,0,0,4,1,1,3,0,0,0,0,0,0,0,0
15,44,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,114.0199251,22.63042303,5,1,3,3,1,2,2,2,1,1,0,0,4,2,2,1,2,3,1,1,2,1,0,0
15,45,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,114.0188888,22.64670022,2,2,0,0,0,0,1,3,2,2,1,3,0,0,0,0,0,0,2,2,1,2,0,0
16,46,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,114.037148,22.62550439,2,3,3,1,2,2,2,1,1,3,0,0,5,1,5,3,4,2,0,0,0,0,0,0
16,47,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,114.0709623,22.62817986,1,2,1,1,5,2,0,0,0,0,0,0,5,2,5,3,1,3,1,1,0,0,0,0
16,48,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,114.0317398,22.64655164,4,3,5,2,5,3,1,2,1,3,2,2,5,3,2,3,5,3,0,0,0,0,0,0
17,49,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,114.0128285,22.67028172,5,2,2,2,1,3,0,0,0,0,0,0,3,1,5,1,3,3,2,3,2,3,2,3
17,50,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,114.2361798,22.71058806,1,3,1,1,0,0,2,3,0,0,0,0,1,3,3,1,4,1,0,0,0,0,0,0
17,51,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,114.2430976,22.71410947,4,2,3,2,2,2,1,2,1,3,1,1,4,3,3,2,0,0,1,2,2,2,2,3
18,52,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,114.2456781,22.71207494,4,1,1,1,1,1,0,0,0,0,0,0,2,2,2,2,3,2,1,2,0,0,0,0
18,53,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,114.2582854,22.72174494,1,1,0,0,0,0,2,2,2,1,1,1,5,2,3,2,0,0,2,3,0,0,0,0
18,54,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,114.2259198,22.73338826,0,0,0,0,0,0,1,2,0,0,0,0,3,2,5,3,4,2,0,0,0,0,0,0
19,55,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,114.3755009,22.74798083,1,1,1,2,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0
19,56,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,113.9004707,22.55732774,4,2,5,2,1,1,0,0,0,0,0,0,4,2,3,1,0,0,2,1,0,0,0,0
19,57,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,113.8874661,22.57012128,2,3,3,3,5,3,0,0,0,0,0,0,5,2,2,2,5,3,1,3,0,0,0,0
20,58,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,113.896645,22.5725377,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,0,1,1,0,0,0,0
20,59,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,113.8967133,22.57856619,1,2,1,3,0,0,0,0,0,0,0,0,1,2,5,3,5,2,1,1,2,3,0,0
20,60,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,113.8852966,22.57312598,1,2,0,0,0,0,0,0,0,0,0,0,4,2,5,2,1,2,0,0,0,0,0,0
21,61,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,113.8777096,22.57949476,3,3,0,0,0,0,0,0,0,0,0,0,5,1,1,2,3,3,2,1,1,3,1,3
21,62,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,113.8549526,22.57981904,3,2,3,1,5,3,2,3,1,2,2,2,5,1,3,1,5,3,2,1,1,1,1,3
21,63,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,113.9026307,22.55983145,0,0,0,0,0,0,2,2,2,2,2,3,0,0,0,0,0,0,1,2,2,2,2,3
22,64,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,113.8644714,22.58631445,3,1,1,3,5,2,0,0,0,0,0,0,3,2,5,1,1,3,0,0,0,0,0,0
22,65,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,113.8573147,22.59211009,3,3,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,66,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,113.9232541,22.64493931,1,3,1,3,1,2,0,0,0,0,0,0,2,2,3,3,2,3,1,3,2,3,0,0
23,67,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,113.9274145,22.68508078,4,3,4,2,0,0,0,0,0,0,0,0,5,2,3,2,3,3,1,2,2,3,0,0
23,68,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,113.8294674,22.6924751,5,1,1,1,4,2,1,1,1,2,1,3,5,2,3,3,1,2,2,2,0,0,0,0
23,69,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,113.8401454,22.70575501,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,70,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,113.7862812,22.71663779,2,1,1,3,3,3,2,2,1,3,2,3,2,2,0,0,0,0,1,3,0,0,0,0
24,71,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,113.8107386,22.72287328,3,3,1,3,0,0,0,0,0,0,0,0,2,3,2,2,1,1,2,1,0,0,0,0
24,72,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,113.8415137,22.71894321,0,0,0,0,0,0,1,2,2,3,0,0,5,2,3,2,5,2,0,0,0,0,0,0
25,73,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,113.8347666,22.72548099,1,3,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,74,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,113.8365922,22.76627214,2,3,4,2,5,3,1,2,2,2,0,0,1,3,2,2,2,1,0,0,0,0,0,0
25,75,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,113.8209245,22.77698156,5,2,1,2,2,2,1,2,2,2,2,1,5,3,1,3,0,0,0,0,0,0,0,0
26,76,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,113.8219726,22.77735725,4,3,4,2,2,2,2,1,0,0,0,0,4,3,1,1,5,1,1,1,2,2,1,3
26,77,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,113.8996887,22.73128702,2,2,2,1,1,1,1,3,1,3,2,3,2,3,0,0,0,0,2,2,2,1,2,3
26,78,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,113.8721031,22.77639592,1,3,2,3,4,2,1,3,1,2,2,1,4,3,4,2,3,2,0,0,0,0,0,0
27,79,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,113.9142846,22.52869198,1,2,3,1,3,3,0,0,0,0,0,0,4,2,0,0,3,1,2,2,1,2,1,2
27,80,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,113.9166726,22.52259246,5,2,5,1,5,3,1,1,0,0,0,0,4,3,0,0,5,1,0,0,0,0,0,0
27,81,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,114.0587619,22.52703475,1,3,0,0,0,0,0,0,0,0,0,0,1,3,2,2,3,2,0,0,0,0,0,0
28,82,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,114.0420823,22.5260357,4,3,0,0,0,0,1,1,2,1,0,0,4,3,4,1,2,3,2,2,2,1,2,3
28,83,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,114.0396144,22.52683266,4,1,0,0,0,0,1,2,0,0,0,0,1,1,0,0,3,2,2,1,1,2,2,3
28,84,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,114.0553674,22.56932114,2,2,5,2,3,2,0,0,0,0,0,0,1,2,0,0,5,2,1,3,2,2,0,0
29,85,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,114.1034216,22.55359773,5,2,4,3,4,3,2,2,1,3,1,2,2,2,2,3,3,3,0,0,0,0,0,0
29,86,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,114.1131635,22.54080651,1,1,2,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,1,1,1,2,2
29,87,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,114.1129034,22.54504988,1,2,3,3,3,3,0,0,0,0,0,0,5,3,0,0,4,3,1,3,1,3,2,3
30,88,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,114.1282363,22.54902959,0,0,0,0,0,0,1,1,0,0,0,0,5,2,0,0,5,2,1,1,0,0,0,0
30,89,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,114.1165329,22.5522795,1,3,2,3,4,3,0,0,0,0,0,0,5,1,0,0,3,3,1,3,1,3,2,3
30,90,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,114.1238771,22.57156129,4,2,4,3,0,0,2,3,2,3,1,2,3,2,0,0,2,3,1,3,2,3,2,2
31,91,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,114.1358967,22.56824967,5,1,1,2,5,3,1,2,0,0,0,0,4,2,1,1,3,2,0,0,0,0,0,0
31,92,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,114.1031884,22.61489448,4,1,1,2,5,2,1,3,2,2,1,3,2,1,1,1,0,0,0,0,0,0,0,0
31,93,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,114.0111339,22.74579779,5,2,0,0,0,0,1,2,2,3,1,2,2,3,1,3,1,2,0,0,0,0,0,0
32,94,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,113.8745155,22.57794726,1,1,5,2,5,2,2,2,1,2,1,2,2,1,5,1,5,2,1,2,1,1,1,2
32,95,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,113.8565122,22.58513842,1,2,3,2,4,2,2,1,2,2,0,0,2,3,2,1,5,1,1,3,1,1,1,2
32,96,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,113.9254477,22.68233552,5,3,0,0,0,0,2,2,2,3,1,2,2,2,4,2,1,2,0,0,0,0,0,0
33,97,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,113.8183072,22.67555706,1,3,0,0,0,0,0,0,0,0,0,0,4,1,5,2,5,2,0,0,0,0,0,0
33,98,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,113.8294926,22.77605198,2,1,0,0,0,0,2,1,1,1,1,1,2,1,3,1,0,0,0,0,0,0,0,0
33,99,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,114.0319532,22.52625385,1,2,2,2,0,0,1,2,2,2,1,1,1,2,1,3,4,2,0,0,0,0,0,0
34,100,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,114.1363793,22.55641637,1,2,4,1,3,1,0,0,0,0,0,0,5,1,0,0,2,2,1,2,2,1,2,3
34,101,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,114.1256593,22.55711282,4,2,2,2,5,3,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0
34,102,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,114.0563229,22.64388028,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,3,4,2,2,2,2,2,0,0
35,103,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,114.0312202,22.67516474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0
35,104,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,113.8953067,22.48545968,3,2,1,2,3,2,2,2,2,3,2,1,1,3,4,3,4,3,0,0,0,0,0,0
35,105,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,114.0665768,22.51979943,3,3,5,2,4,2,1,3,2,3,0,0,3,3,2,3,2,3,2,2,2,3,1,3
36,106,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,114.0363975,22.57228122,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,2,5,1,1,2,2,3,1,2
36,107,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,114.0237941,22.60102673,4,2,0,0,0,0,2,3,1,2,1,1,4,3,1,1,5,2,0,0,0,0,0,0
36,108,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,114.2365236,22.58810713,1,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
37,109,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,113.9433599,22.77011474,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,1,2,2,2,3
37,110,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,113.8875857,22.49076602,5,1,4,3,2,1,2,3,0,0,0,0,2,3,0,0,4,1,1,1,1,3,0,0
37,111,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,113.9240269,22.48217037,3,2,2,2,2,3,0,0,0,0,0,0,1,3,2,2,3,3,0,0,0,0,0,0
38,112,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,113.9621245,22.54681796,5,3,1,2,1,1,0,0,0,0,0,0,3,2,0,0,4,2,1,2,0,0,0,0
38,113,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,114.0178593,22.5575223,4,3,1,3,4,2,1,1,1,2,2,3,1,3,1,1,0,0,0,0,0,0,0,0
38,114,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,113.9633945,22.57023489,3,3,4,2,0,0,2,3,0,0,0,0,5,2,1,2,1,2,0,0,0,0,0,0
39,115,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,114.1260941,22.57110438,5,3,0,0,0,0,0,0,0,0,0,0,2,3,2,3,1,3,1,3,1,2,1,2
39,116,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,114.0646213,22.69077496,1,1,2,1,5,3,2,2,0,0,0,0,4,1,0,0,5,1,1,2,1,2,0,0
39,117,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,114.0136501,22.6753403,5,2,1,2,5,3,2,2,1,2,2,2,0,0,0,0,0,0,1,2,2,3,2,3
40,118,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,114.3021619,22.59713807,4,1,4,2,5,2,1,3,2,3,0,0,1,2,1,3,1,2,2,3,1,2,2,2
40,119,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,114.4136533,22.62927317,5,1,1,2,3,3,0,0,0,0,0,0,2,2,5,1,3,2,2,3,0,0,0,0
40,120,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,114.3184147,22.67755491,5,3,3,3,1,2,0,0,0,0,0,0,3,2,1,3,1,3,2,2,2,3,2,2
41,121,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,114.2457927,22.71076303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2
41,122,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,113.8488247,22.61528135,2,1,1,3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
41,123,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,113.9101184,22.66013986,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,3,0,0,2,3,0,0,0,0
42,124,4,0,37,3750,135000,1,2,3,0,0,0,0,2,2,3,0,0,1,16,11,3,113.8387162,22.6868096,0,0,0,0,0,0,2,1,1,3,2,1,0,0,0,0,0,0,1,3,2,1,2,2
42,125,6,1,59,3750,135000,1,2,3,0,0,0,0,2,1,3,0,1,1,17,11,3,113.9334791,22.49288787,5,1,4,2,2,2,0,0,0,0,0,0,1,3,1,2,2,2,2,3,0,0,0,0
42,126,7,0,65,3750,135000,1,4,3,0,0,0,0,1,4,4,1,0,0,18,11,3,113.9114708,22.50905464,4,3,4,3,4,3,0,0,0,0,0,0,5,2,4,3,2,3,2,2,0,0,0,0
