HID,PID,Gender,Age_group,Education,Income,License,Status,Education_detailed,Number,Long,Lat
45,45,1,3,2,150000,0,2,5,1,0,0
46,46,1,3,2,150000,0,2,5,1,0,0
47,47,1,3,2,150000,0,2,5,1,0,0
48,48,1,3,2,150000,0,2,5,1,0,0
49,49,1,3,2,150000,0,2,5,1,0,0
50,50,1,3,2,150000,0,2,5,1,0,0
51,51,1,3,2,150000,0,2,5,1,0,0
52,52,1,3,2,150000,0,2,5,1,0,0
53,53,1,3,2,150000,0,2,5,1,0,0
54,54,1,3,2,150000,0,2,5,1,0,0
55,55,1,3,2,150000,0,2,5,1,0,0
56,56,1,3,2,150000,0,2,5,1,0,0
57,57,1,3,2,150000,0,2,5,1,0,0
58,58,1,3,2,150000,0,2,5,1,0,0
59,59,1,3,2,150000,0,2,5,1,0,0
60,60,1,3,2,150000,0,2,5,1,0,0
61,61,1,3,2,150000,0,2,5,1,0,0
62,62,1,3,2,150000,0,2,5,1,0,0
63,63,1,3,2,150000,0,2,5,1,0,0
64,64,1,3,2,150000,0,2,5,1,0,0
65,65,1,3,2,150000,0,2,5,1,0,0
66,66,1,3,2,150000,0,2,5,1,0,0
67,67,1,3,2,150000,0,2,5,1,0,0
68,68,1,3,2,150000,0,2,5,1,0,0
69,69,1,3,2,150000,0,2,5,1,0,0
70,70,1,3,2,150000,0,2,5,1,0,0
71,71,1,3,2,150000,0,2,5,1,0,0
72,72,0,3,1,150000,0,2,3,1,0,0
73,73,0,3,1,150000,0,2,3,1,0,0
74,74,0,3,1,150000,0,2,3,1,0,0
75,75,0,3,1,150000,0,2,3,1,0,0
76,76,0,3,1,150000,0,2,3,1,0,0
77,77,0,3,1,150000,0,2,3,1,0,0
78,78,0,3,1,150000,0,2,3,1,0,0
79,79,0,3,1,150000,0,2,3,1,0,0
80,80,0,3,1,150000,0,2,3,1,0,0
81,81,0,3,1,150000,0,2,3,1,0,0
82,82,0,3,1,150000,0,2,3,1,0,0
83,83,0,3,1,150000,0,2,3,1,0,0
84,84,0,3,1,150000,0,2,3,1,0,0
85,85,0,3,1,150000,0,2,3,1,0,0
86,86,0,3,1,150000,0,2,3,1,0,0
87,87,0,3,1,150000,0,2,3,1,0,0
88,88,0,3,1,150000,0,2,3,1,0,0
89,89,0,3,1,150000,0,2,3,1,0,0
90,90,0,3,1,150000,0,2,3,1,0,0
91,91,0,3,1,150000,0,2,3,1,0,0
92,92,0,3,1,150000,0,2,3,1,0,0
93,93,0,3,1,150000,0,2,3,1,0,0
94,94,0,3,1,150000,0,2,3,1,0,0
95,95,0,3,1,150000,0,2,3,1,0,0
96,96,0,3,1,150000,0,2,3,1,0,0
97,97,0,3,1,150000,0,2,3,1,0,0
98,98,0,3,1,150000,0,2,3,1,0,0
99,99,0,3,1,150000,0,2,3,1,0,0
100,100,0,3,1,150000,0,2,3,1,0,0
101,101,0,3,1,150000,0,2,3,1,0,0
102,102,0,3,1,150000,0,2,3,1,0,0
103,103,0,3,1,150000,0,2,3,1,0,0
104,104,0,3,1,150000,0,2,3,1,0,0
105,105,0,3,1,150000,0,2,3,1,0,0
106,106,0,3,1,150000,0,2,3,1,0,0
107,107,0,3,1,150000,0,2,3,1,0,0
108,108,0,3,1,150000,0,2,3,1,0,0
109,109,0,3,1,150000,0,2,3,1,0,0
110,110,0,3,1,150000,0,2,3,1,0,0
111,111,0,3,1,150000,0,2,3,1,0,0
112,112,0,3,1,150000,0,2,3,1,0,0
113,113,0,3,1,150000,0,2,3,1,0,0
114,114,0,3,1,150000,0,2,3,1,0,0
115,115,0,3,1,150000,0,2,3,1,0,0
116,116,0,3,1,150000,0,2,3,1,0,0
117,117,0,3,1,150000,0,2,3,1,0,0
118,118,0,3,1,150000,0,2,3,1,0,0
119,119,0,3,1,150000,0,2,3,1,0,0
120,120,0,3,1,150000,0,2,3,1,0,0
121,121,0,3,1,150000,0,2,3,1,0,0
122,122,0,3,1,150000,0,2,3,1,0,0
123,123,0,3,1,150000,0,2,3,1,0,0
124,124,0,3,1,150000,0,2,3,1,0,0
125,125,0,3,1,150000,0,2,3,1,0,0
126,126,0,3,1,150000,0,2,3,1,0,0
127,127,0,3,1,150000,0,2,3,1,0,0
128,128,0,3,1,150000,0,2,3,1,0,0
129,129,0,3,1,150000,0,2,3,1,0,0
130,130,0,3,1,150000,0,2,3,1,0,0
131,131,0,3,1,150000,0,2,3,1,0,0
132,132,0,3,1,150000,0,2,3,1,0,0
133,133,0,3,1,150000,0,2,3,1,0,0
134,134,0,3,1,150000,0,2,3,1,0,0
135,135,0,3,1,150000,0,2,3,1,0,0
136,136,0,3,1,150000,0,2,3,1,0,0
137,137,0,3,1,150000,0,2,3,1,0,0
138,138,0,3,1,150000,0,2,3,1,0,0
139,139,0,3,1,150000,0,2,3,1,0,0
140,140,0,3,1,150000,0,2,3,1,0,0
141,141,0,3,1,150000,0,2,3,1,0,0
142,142,0,3,1,150000,0,2,3,1,0,0
143,143,0,3,1,150000,0,2,3,1,0,0
144,144,0,3,1,150000,0,2,3,1,0,0
145,145,0,3,1,150000,0,2,3,1,0,0
146,146,0,3,1,150000,0,2,3,1,0,0
147,147,0,3,1,150000,0,2,3,1,0,0
148,148,0,3,1,150000,0,2,3,1,0,0
149,149,0,3,1,150000,0,2,3,1,0,0
150,150,0,3,1,150000,0,2,3,1,0,0
151,151,0,3,1,150000,0,2,3,1,0,0
152,152,0,3,1,150000,0,2,3,1,0,0
153,153,0,3,1,150000,0,2,3,1,0,0
154,154,0,3,1,150000,0,2,3,1,0,0
155,155,0,3,1,150000,0,2,3,1,0,0
156,156,0,3,1,150000,0,2,3,1,0,0
157,157,0,3,1,150000,0,2,3,1,0,0
158,158,0,3,1,150000,0,2,3,1,0,0
159,159,0,3,1,150000,0,2,3,1,0,0
160,160,0,3,1,150000,0,2,3,1,0,0
161,161,0,3,1,150000,0,2,3,1,0,0
162,162,0,3,1,150000,0,2,3,1,0,0
163,163,0,3,1,150000,0,2,3,1,0,0
164,164,0,3,1,150000,0,2,3,1,0,0
165,165,0,3,1,150000,0,2,3,1,0,0
166,166,0,3,1,150000,0,2,3,1,0,0
167,167,0,3,1,150000,0,2,3,1,0,0
168,168,0,3,1,150000,0,2,3,1,0,0
169,169,1,3,1,18000,0,2,4,1,0,0
170,170,1,3,1,18000,0,2,4,1,0,0
171,171,1,3,1,18000,0,2,4,1,0,0
172,172,1,3,1,18000,0,2,4,1,0,0
173,173,1,3,1,18000,0,2,4,1,0,0
174,174,1,3,1,18000,0,2,4,1,0,0
175,175,1,3,1,18000,0,2,4,1,0,0
176,176,1,3,1,18000,0,2,4,1,0,0
177,177,1,3,1,18000,0,2,4,1,0,0
178,178,1,3,1,18000,0,2,4,1,0,0
179,179,1,3,1,18000,0,2,4,1,0,0
180,180,1,3,1,18000,0,2,4,1,0,0
181,181,1,3,1,18000,0,2,4,1,0,0
182,182,1,3,1,18000,0,2,4,1,0,0
183,183,1,3,1,18000,0,2,4,1,0,0
184,184,1,3,1,18000,0,2,4,1,0,0
185,185,1,3,1,18000,0,2,4,1,0,0
186,186,1,3,1,18000,0,2,4,1,0,0
187,187,1,3,1,18000,0,2,4,1,0,0
188,188,1,3,1,18000,0,2,4,1,0,0
189,189,1,3,1,18000,0,2,4,1,0,0
190,190,1,3,1,18000,0,2,4,1,0,0
191,191,1,3,1,18000,0,2,4,1,0,0
192,192,1,3,1,18000,0,2,4,1,0,0
193,193,1,3,1,18000,0,2,4,1,0,0
194,194,1,3,1,18000,0,2,4,1,0,0
195,195,1,3,1,18000,0,2,4,1,0,0
196,196,1,3,1,18000,0,2,4,1,0,0
197,197,1,3,1,18000,0,2,4,1,0,0
198,198,1,3,1,18000,0,2,4,1,0,0
199,199,1,3,1,18000,0,2,4,1,0,0
200,200,1,3,1,18000,0,2,4,1,0,0
201,201,1,3,1,18000,0,2,4,1,0,0
202,202,1,3,1,18000,0,2,4,1,0,0
203,203,1,3,1,18000,0,2,4,1,0,0
204,204,1,3,1,18000,0,2,4,1,0,0
205,205,1,3,1,18000,0,2,4,1,0,0
206,206,1,3,1,18000,0,2,4,1,0,0
207,207,1,3,1,18000,0,2,4,1,0,0
208,208,1,3,1,18000,0,2,4,1,0,0
209,209,1,3,1,18000,0,2,4,1,0,0
210,210,1,3,1,18000,0,2,4,1,0,0
211,211,1,3,1,18000,0,2,4,1,0,0
212,212,1,3,1,18000,0,2,4,1,0,0
213,213,1,3,1,18000,0,2,4,1,0,0
214,214,1,3,1,18000,0,2,4,1,0,0
215,215,1,3,1,18000,0,2,4,1,0,0
216,216,1,3,1,18000,0,2,4,1,0,0
217,217,1,3,1,18000,0,2,4,1,0,0
218,218,1,3,1,18000,0,2,4,1,0,0
219,219,1,3,1,18000,0,2,4,1,0,0
220,220,1,3,1,18000,0,2,4,1,0,0
221,221,1,3,1,18000,0,2,4,1,0,0
222,222,1,3,1,18000,0,2,4,1,0,0
223,223,1,3,1,18000,0,2,4,1,0,0
224,224,1,3,1,18000,0,2,4,1,0,0
225,225,1,3,1,18000,0,2,4,1,0,0
226,226,1,3,1,18000,0,2,4,1,0,0
227,227,1,3,1,18000,0,2,4,1,0,0
228,228,1,3,1,18000,0,2,4,1,0,0
229,229,1,3,1,18000,0,2,4,1,0,0
230,230,1,3,1,18000,0,2,4,1,0,0
231,231,1,3,1,18000,0,2,4,1,0,0
232,232,1,3,1,18000,0,2,4,1,0,0
233,233,1,3,1,18000,0,2,4,1,0,0
234,234,1,3,1,18000,0,2,4,1,0,0
235,235,1,3,1,18000,0,2,4,1,0,0
236,236,1,3,1,18000,0,2,4,1,0,0
237,237,1,3,1,18000,0,2,4,1,0,0
238,238,1,3,1,18000,0,2,4,1,0,0
239,239,1,3,1,18000,0,2,4,1,0,0
240,240,1,3,1,18000,0,2,4,1,0,0
241,241,1,3,1,18000,0,2,4,1,0,0
242,242,1,3,1,18000,0,2,4,1,0,0
243,243,1,3,1,18000,0,2,4,1,0,0
244,244,1,3,1,18000,0,2,4,1,0,0
245,245,1,3,1,18000,0,2,4,1,0,0
246,246,1,3,1,18000,0,2,4,1,0,0
247,247,1,3,1,18000,0,2,4,1,0,0
248,248,1,3,1,18000,0,2,4,1,0,0
249,249,1,3,1,18000,0,2,4,1,0,0
250,250,1,3,1,18000,0,2,4,1,0,0
251,251,1,3,1,18000,0,2,4,1,0,0
252,252,1,3,1,18000,0,2,4,1,0,0
253,253,1,3,1,18000,0,2,4,1,0,0
254,254,1,3,1,18000,0,2,4,1,0,0
255,255,1,3,1,18000,0,2,4,1,0,0
256,256,1,3,1,18000,0,2,4,1,0,0
257,257,1,3,1,18000,0,2,4,1,0,0
258,258,1,3,1,18000,0,2,4,1,0,0
259,259,1,3,1,18000,0,2,4,1,0,0
260,260,1,3,1,18000,0,2,4,1,0,0
261,261,1,3,1,18000,0,2,4,1,0,0
262,262,1,3,1,18000,0,2,4,1,0,0
263,263,1,3,1,18000,0,2,4,1,0,0
264,264,1,3,1,18000,0,2,4,1,0,0
265,265,1,3,1,18000,0,2,4,1,0,0
266,266,1,3,1,18000,0,2,4,1,0,0
267,267,1,3,1,18000,0,2,4,1,0,0
268,268,1,3,1,18000,0,2,4,1,0,0
269,269,1,3,1,18000,0,2,4,1,0,0
270,270,1,3,1,18000,0,2,4,1,0,0
271,271,1,3,1,18000,0,2,4,1,0,0
272,272,1,3,1,18000,0,2,4,1,0,0
273,273,1,3,1,18000,0,2,4,1,0,0
274,274,1,3,1,18000,0,2,4,1,0,0
275,275,1,3,1,18000,0,2,4,1,0,0
276,276,1,3,1,18000,0,2,4,1,0,0
277,277,1,3,1,18000,0,2,4,1,0,0
278,278,1,3,1,18000,0,2,4,1,0,0
279,279,1,3,1,18000,0,2,4,1,0,0
280,280,1,3,1,18000,0,2,4,1,0,0
281,281,1,3,1,18000,0,2,4,1,0,0
282,282,1,3,1,18000,0,2,4,1,0,0
283,283,1,3,1,18000,0,2,4,1,0,0
284,284,1,3,1,18000,0,2,4,1,0,0
285,285,1,3,1,18000,0,2,4,1,0,0
286,286,1,3,1,18000,0,2,4,1,0,0
287,287,1,3,1,18000,0,2,4,1,0,0
288,288,1,3,1,18000,0,2,4,1,0,0
289,289,1,3,1,18000,0,2,4,1,0,0
290,290,1,3,1,18000,0,2,4,1,0,0
291,291,1,3,1,18000,0,2,4,1,0,0
292,292,1,3,1,18000,0,2,4,1,0,0
293,293,1,3,1,18000,0,2,4,1,0,0
294,294,1,3,1,18000,0,2,4,1,0,0
295,295,1,3,1,18000,0,2,4,1,0,0
296,296,1,3,1,18000,0,2,4,1,0,0
297,297,1,3,1,18000,0,2,4,1,0,0
298,298,1,3,1,18000,0,2,4,1,0,0
299,299,1,3,1,18000,0,2,4,1,0,0
300,300,1,3,1,18000,0,2,4,1,0,0
301,301,1,3,1,18000,0,2,4,1,0,0
302,302,1,3,1,18000,0,2,4,1,0,0
303,303,1,3,1,18000,0,2,4,1,0,0
304,304,1,3,1,18000,0,2,4,1,0,0
305,305,1,3,1,18000,0,2,4,1,0,0
306,306,1,3,1,18000,0,2,4,1,0,0
307,307,1,3,1,18000,0,2,4,1,0,0
308,308,1,3,1,18000,0,2,4,1,0,0
309,309,1,3,1,18000,0,2,4,1,0,0
310,310,1,3,1,18000,0,2,4,1,0,0
311,311,1,3,1,18000,0,2,4,1,0,0
312,312,1,3,1,18000,0,2,4,1,0,0
313,313,1,3,1,18000,0,2,4,1,0,0
314,314,1,3,1,18000,0,2,4,1,0,0
315,315,1,3,1,18000,0,2,4,1,0,0
316,316,1,3,1,18000,0,2,4,1,0,0
317,317,1,3,1,18000,0,2,4,1,0,0
318,318,1,3,1,18000,0,2,4,1,0,0
319,319,1,3,1,18000,0,2,4,1,0,0
320,320,1,3,1,18000,0,2,4,1,0,0
321,321,1,3,1,18000,0,2,4,1,0,0
322,322,1,3,1,18000,0,2,4,1,0,0
323,323,1,3,1,18000,0,2,4,1,0,0
324,324,1,3,1,18000,0,2,4,1,0,0
325,325,1,3,1,18000,0,2,4,1,0,0
326,326,1,3,1,18000,0,2,4,1,0,0
327,327,1,3,1,18000,0,2,4,1,0,0
328,328,1,3,1,18000,0,2,4,1,0,0
329,329,1,3,1,18000,0,2,4,1,0,0
330,330,1,3,1,18000,0,2,4,1,0,0
331,331,1,3,1,18000,0,2,4,1,0,0
332,332,1,3,1,18000,0,2,4,1,0,0
333,333,1,3,1,18000,0,2,4,1,0,0
334,334,1,3,1,18000,0,2,4,1,0,0
335,335,1,3,1,18000,0,2,4,1,0,0
336,336,1,3,1,18000,0,2,4,1,0,0
337,337,1,3,1,18000,0,2,4,1,0,0
338,338,1,3,1,18000,0,2,4,1,0,0
339,339,1,3,1,18000,0,2,4,1,0,0
340,340,1,3,1,18000,0,2,4,1,0,0
341,341,1,3,1,18000,0,2,4,1,0,0
342,342,1,3,1,18000,0,2,4,1,0,0
343,343,1,3,1,18000,0,2,4,1,0,0
344,344,1,3,1,18000,0,2,4,1,0,0
345,345,1,3,1,18000,0,2,4,1,0,0
346,346,1,3,1,18000,0,2,4,1,0,0
347,347,1,3,1,18000,0,2,4,1,0,0
348,348,1,3,1,18000,0,2,4,1,0,0
349,349,1,3,1,18000,0,2,4,1,0,0
350,350,1,3,1,18000,0,2,4,1,0,0
351,351,1,3,1,18000,0,2,4,1,0,0
352,352,1,3,1,18000,0,2,4,1,0,0
353,353,1,3,1,18000,0,2,4,1,0,0
354,354,1,3,1,18000,0,2,4,1,0,0
355,355,1,3,1,18000,0,2,4,1,0,0
356,356,1,3,1,18000,0,2,4,1,0,0
357,357,1,3,1,18000,0,2,4,1,0,0
358,358,1,3,1,18000,0,2,4,1,0,0
359,359,1,3,1,18000,0,2,4,1,0,0
360,360,1,3,1,18000,0,2,4,1,0,0
361,361,1,3,1,18000,0,2,4,1,0,0
362,362,1,3,1,18000,0,2,4,1,0,0
363,363,1,3,1,18000,0,2,4,1,0,0
364,364,1,3,1,18000,0,2,4,1,0,0
365,365,1,3,1,18000,0,2,4,1,0,0
366,366,1,3,1,18000,0,2,4,1,0,0
367,367,1,3,1,18000,0,2,4,1,0,0
368,368,1,3,1,18000,0,2,4,1,0,0
369,369,1,3,1,18000,0,2,4,1,0,0
370,370,1,3,1,18000,0,2,4,1,0,0
371,371,1,3,1,18000,0,2,4,1,0,0
372,372,1,3,1,18000,0,2,4,1,0,0
373,373,1,3,1,18000,0,2,4,1,0,0
374,374,1,3,1,18000,0,2,4,1,0,0
375,375,1,3,1,18000,0,2,4,1,0,0
376,376,1,3,1,18000,0,2,4,1,0,0
377,377,1,3,1,18000,0,2,4,1,0,0
378,378,1,3,1,18000,0,2,4,1,0,0
379,379,1,3,1,18000,0,2,4,1,0,0
380,380,1,3,1,18000,0,2,4,1,0,0
381,381,1,3,1,18000,0,2,4,1,0,0
382,382,1,3,1,18000,0,2,4,1,0,0
383,383,1,3,1,18000,0,2,4,1,0,0
384,384,1,3,1,18000,0,2,4,1,0,0
385,385,1,3,1,18000,0,2,4,1,0,0
386,386,1,3,1,18000,0,2,4,1,0,0
387,387,1,3,1,18000,0,2,4,1,0,0
388,388,1,3,1,18000,0,2,4,1,0,0
389,389,1,3,1,18000,0,2,4,1,0,0
390,390,1,3,1,18000,0,2,4,1,0,0
391,391,1,3,1,18000,0,2,4,1,0,0
392,392,1,3,1,18000,0,2,4,1,0,0
393,393,1,3,1,18000,0,2,4,1,0,0
394,394,1,3,1,18000,0,2,4,1,0,0
395,395,1,3,1,18000,0,2,4,1,0,0
396,396,1,3,1,18000,0,2,4,1,0,0
397,397,1,3,1,18000,0,2,4,1,0,0
398,398,1,3,1,18000,0,2,4,1,0,0
399,399,1,3,1,18000,0,2,4,1,0,0
400,400,1,3,1,18000,0,2,4,1,0,0
401,401,1,3,1,18000,0,2,4,1,0,0
402,402,1,3,1,18000,0,2,4,1,0,0
403,403,1,3,1,18000,0,2,4,1,0,0
404,404,1,3,1,18000,0,2,4,1,0,0
405,405,1,3,1,18000,0,2,4,1,0,0
406,406,1,3,1,18000,0,2,4,1,0,0
407,407,1,3,1,18000,0,2,4,1,0,0
408,408,1,3,1,18000,0,2,4,1,0,0
409,409,1,3,1,18000,0,2,4,1,0,0
410,410,1,3,1,18000,0,2,4,1,0,0
411,411,1,3,1,18000,0,2,4,1,0,0
412,412,1,3,1,18000,0,2,4,1,0,0
413,413,1,3,1,18000,0,2,4,1,0,0
414,414,1,3,1,18000,0,2,4,1,0,0
415,415,1,3,1,18000,0,2,4,1,0,0
416,416,1,3,1,18000,0,2,4,1,0,0
417,417,1,3,1,18000,0,2,4,1,0,0
418,418,1,3,1,18000,0,2,4,1,0,0
419,419,1,3,1,18000,0,2,4,1,0,0
420,420,1,3,1,18000,0,2,4,1,0,0
421,421,1,3,1,18000,0,2,4,1,0,0
422,422,1,3,1,18000,0,2,4,1,0,0
423,423,1,3,1,18000,0,2,4,1,0,0
424,424,1,3,1,18000,0,2,4,1,0,0
425,425,1,3,1,18000,0,2,4,1,0,0
426,426,1,3,1,18000,0,2,4,1,0,0
427,427,1,3,1,18000,0,2,4,1,0,0
428,428,1,3,1,18000,0,2,4,1,0,0
429,429,1,3,1,18000,0,2,4,1,0,0
430,430,1,3,1,18000,0,2,4,1,0,0
431,431,1,3,1,18000,0,2,4,1,0,0
432,432,1,3,1,18000,0,2,4,1,0,0
433,433,1,3,1,18000,0,2,4,1,0,0
434,434,1,3,1,18000,0,2,4,1,0,0
435,435,1,3,1,18000,0,2,4,1,0,0
436,436,1,3,1,18000,0,2,4,1,0,0
437,437,1,3,1,18000,0,2,4,1,0,0
438,438,1,3,1,18000,0,2,4,1,0,0
439,439,1,3,1,18000,0,2,4,1,0,0
440,440,1,3,1,18000,0,2,4,1,0,0
441,441,1,3,1,18000,0,2,4,1,0,0
442,442,1,3,1,18000,0,2,4,1,0,0
443,443,1,3,1,18000,0,2,4,1,0,0
444,444,1,3,1,18000,0,2,4,1,0,0
445,445,1,3,1,18000,0,2,4,1,0,0
446,446,1,3,1,18000,0,2,4,1,0,0
447,447,1,3,1,18000,0,2,4,1,0,0
448,448,1,3,1,18000,0,2,4,1,0,0
449,449,1,3,1,18000,0,2,4,1,0,0
450,450,1,3,1,18000,0,2,4,1,0,0
451,451,1,3,1,18000,0,2,4,1,0,0
452,452,1,3,1,18000,0,2,4,1,0,0
453,453,1,3,1,18000,0,2,4,1,0,0
454,454,1,3,1,18000,0,2,4,1,0,0
455,455,1,3,1,18000,0,2,4,1,0,0
456,456,1,3,1,18000,0,2,4,1,0,0
457,457,1,3,1,18000,0,2,4,1,0,0
458,458,1,3,1,18000,0,2,4,1,0,0
459,459,1,3,1,18000,0,2,4,1,0,0
460,460,1,3,1,18000,0,2,4,1,0,0
461,461,1,3,1,18000,0,2,4,1,0,0
462,462,1,3,1,18000,0,2,4,1,0,0
463,463,1,3,1,18000,0,2,4,1,0,0
464,464,1,3,1,18000,0,2,4,1,0,0
465,465,1,3,1,18000,0,2,4,1,0,0
466,466,1,3,1,18000,0,2,4,1,0,0
467,467,1,3,1,18000,0,2,4,1,0,0
468,468,1,3,1,18000,0,2,4,1,0,0
469,469,1,3,1,18000,0,2,4,1,0,0
470,470,1,3,1,18000,0,2,4,1,0,0
471,471,1,3,1,18000,0,2,4,1,0,0
472,472,1,3,1,18000,0,2,4,1,0,0
473,473,1,3,1,18000,0,2,4,1,0,0
474,474,1,3,1,18000,0,2,4,1,0,0
475,475,1,3,1,18000,0,2,4,1,0,0
476,476,1,3,1,18000,0,2,4,1,0,0
477,477,1,3,1,18000,0,2,4,1,0,0
478,478,1,3,1,18000,0,2,4,1,0,0
479,479,1,3,1,18000,0,2,4,1,0,0
480,480,1,3,1,18000,0,2,4,1,0,0
481,481,1,3,1,18000,0,2,4,1,0,0
482,482,1,3,1,18000,0,2,4,1,0,0
483,483,1,3,1,18000,0,2,4,1,0,0
484,484,1,3,1,18000,0,2,4,1,0,0
485,485,1,3,1,18000,0,2,4,1,0,0
486,486,1,3,1,18000,0,2,4,1,0,0
487,487,1,3,1,18000,0,2,4,1,0,0
488,488,1,3,1,18000,0,2,4,1,0,0
489,489,1,3,1,18000,0,2,4,1,0,0
490,490,1,3,1,18000,0,2,4,1,0,0
491,491,1,3,1,18000,0,2,4,1,0,0
492,492,1,3,1,18000,0,2,4,1,0,0
493,493,1,3,1,18000,0,2,4,1,0,0
494,494,1,3,1,18000,0,2,4,1,0,0
495,495,1,3,1,18000,0,2,4,1,0,0
496,496,1,3,1,18000,0,2,4,1,0,0
497,497,1,3,1,18000,0,2,4,1,0,0
498,498,1,3,1,18000,0,2,4,1,0,0
499,499,1,3,1,18000,0,2,4,1,0,0
500,500,1,3,1,18000,0,2,4,1,0,0
501,501,1,3,1,18000,0,2,4,1,0,0
502,502,1,3,1,18000,0,2,4,1,0,0
503,503,1,3,1,18000,0,2,4,1,0,0
504,504,1,3,1,18000,0,2,4,1,0,0
505,505,1,3,1,18000,0,2,4,1,0,0
506,506,1,3,1,18000,0,2,4,1,0,0
507,507,1,3,1,18000,0,2,4,1,0,0
508,508,1,3,1,18000,0,2,4,1,0,0
509,509,1,3,1,18000,0,2,4,1,0,0
510,510,1,3,1,18000,0,2,4,1,0,0
511,511,1,3,1,18000,0,2,4,1,0,0
512,512,1,3,1,18000,0,2,4,1,0,0
513,513,1,3,1,18000,0,2,4,1,0,0
514,514,1,3,1,18000,0,2,4,1,0,0
515,515,1,3,1,18000,0,2,4,1,0,0
516,516,1,3,1,18000,0,2,4,1,0,0
517,517,1,3,1,18000,0,2,4,1,0,0
518,518,1,3,1,18000,0,2,4,1,0,0
519,519,1,3,1,18000,0,2,4,1,0,0
520,520,1,3,1,18000,0,2,4,1,0,0
521,521,1,3,1,18000,0,2,4,1,0,0
522,522,1,3,1,18000,0,2,4,1,0,0
523,523,1,3,1,18000,0,2,4,1,0,0
524,524,1,3,1,18000,0,2,4,1,0,0
525,525,1,3,1,18000,0,2,4,1,0,0
526,526,1,3,1,18000,0,2,4,1,0,0
527,527,1,3,1,18000,0,2,4,1,0,0
528,528,1,3,1,18000,0,2,4,1,0,0
529,529,1,3,1,18000,0,2,4,1,0,0
530,530,1,3,1,18000,0,2,4,1,0,0
531,531,1,3,1,18000,0,2,4,1,0,0
532,532,1,3,1,18000,0,2,4,1,0,0
533,533,1,3,1,18000,0,2,4,1,0,0
534,534,1,3,1,18000,0,2,4,1,0,0
535,535,1,3,1,18000,0,2,4,1,0,0
536,536,1,3,1,18000,0,2,4,1,0,0
537,537,1,3,1,18000,0,2,4,1,0,0
538,538,1,3,1,18000,0,2,4,1,0,0
539,539,1,3,1,18000,0,2,4,1,0,0
540,540,1,3,1,18000,0,2,4,1,0,0
541,541,1,3,1,18000,0,2,4,1,0,0
542,542,1,3,1,18000,0,2,4,1,0,0
543,543,1,3,1,18000,0,2,4,1,0,0
544,544,1,3,1,18000,0,2,4,1,0,0
545,545,1,3,1,18000,0,2,4,1,0,0
546,546,1,3,1,18000,0,2,4,1,0,0
547,547,1,3,1,18000,0,2,4,1,0,0
548,548,1,3,1,18000,0,2,4,1,0,0
549,549,1,3,1,18000,0,2,4,1,0,0
550,550,1,3,1,18000,0,2,4,1,0,0
551,551,1,3,1,18000,0,2,4,1,0,0
552,552,1,3,1,18000,0,2,4,1,0,0
553,553,1,3,1,18000,0,2,4,1,0,0
554,554,1,3,1,18000,0,2,4,1,0,0
555,555,1,3,1,18000,0,2,4,1,0,0
556,556,1,3,1,18000,0,2,4,1,0,0
